unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,C,EL	: 	: 	: 	19.9 	: 	: 	: 	18.3 	: 	: 	: 
PC,C,ES	18.5 p	18.5 	19.2 	19.1 	22.4 	23.6 	24.2 	22.3 	21.9 	23.5 	25.6 
PC,C,FI	9.1 p	9.6 	10.2 	11.4 	12.1 	12.8 	13.1 	14.4 	14.7 	15.2 	: 
PC,C,FR	14.4 p	14.3 p	14.3 	14.4 	15.0 	15.0 	15.2 	16.2 	16.4 	18.0 	: 
PC,C,HR	19.8 	19.9 	: 	19.2 	18.3 	: 	: 	18.4 	: 	: 	: 
PC,C,HU	20.7 p	22.0 	19.9 	22.6 	23.2 	26.0 	25.8 	26.4 	25.4 	26.3 	: 
PC,C,IE	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 
PC,C,IS	16.4 	14.8 	16.5 	15.3 	19.1 	19.8 	20.7 	23.3 	21.4 	22.6 	26.1 
PC,C,IT	16.7 p	16.7 	15.0 	17.7 	18.9 	17.4 	16.1 	16.0 	: 	: 	: 
PC,C,LT	24.2 	26.0 	26.2 	25.8 	26.2 	26.9 	27.1 	30.4 b	31.5 	32.7 	32.0 
PC,C,LU	14.8 	14.9 	15.3 	16.2 	15.8 	15.6 	15.9 	16.2 	16.9 	17.5 	18.2 
PC,C,LV	18.0 	18.6 	18.9 	20.4 	20.7 	20.5 	18.0 	18.8 	: 	: 	: 
PC,C,ME	: 	: 	: 	9.8 	: 	: 	: 	: 	: 	: 	: 
PC,C,MK	: 	: 	: 	21.3 	: 	: 	: 	: 	: 	: 	: 
PC,C,MT	21.1 	21.5 	20.6 	18.8 	18.6 	17.6 	16.7 	14.9 	19.4 	21.5 	: 
PC,C,NL	18.3 	18.2 	19.3 	19.1 	19.1 	20.0 	21.1 	18.6 	19.0 	19.7 	: 
PC,C,NO	10.8 	11.7 	12.4 	12.0 	12.2 	13.2 	12.9 	13.6 	13.5 	14.9 	: 
PC,C,PL	20.7 p	20.7 	20.8 	20.9 	21.2 	21.4 	21.2 	20.9 	24.1 	27.2 	30.4 
PC,C,PT	30.5 	31.0 	31.6 	30.6 	30.0 	31.0 	28.8 	33.4 	32.6 	33.6 	33.3 
PC,C,RO	18.2 e	18.6 e	17.9 e	19.6 	20.5 	21.6 	21.8 	22.6 	22.9 d	23.4 d	24.8 d
PC,C,RS	: 	: 	: 	18.6 	: 	: 	: 	: 	: 	: 	: 
PC,C,SE	4.2 	4.1 	5.0 	6.9 	7.3 	7.8 	7.9 	8.9 	9.3 	10.4 	: 
PC,C,SI	15.1 	14.8 	14.3 	13.9 	13.9 	13.4 	13.6 	12.9 	13.4 	17.7 	17.7 
PC,C,SK	26.3 	26.4 	26.8 	27.4 	27.7 	27.4 	27.9 	27.4 	29.2 	29.2 	: 
PC,C,TR	: 	: 	: 	16.2 	: 	: 	: 	: 	: 	: 	: 
PC,C,UK	17.1 p	18.3 	20.2 	19.4 	18.5 	20.7 	21.1 	23.1 b	21.5 	23.0 	21.5 
PC,D,AT	18.3 	18.4 	19.3 	19.8 	: 	: 	: 	23.6 	: 	: 	: 
PC,D,BE	21.6 	21.8 	22.4 	22.4 	24.2 	26.0 	27.7 	29.6 	30.4 	30.8 	31.1 
PC,D,BG	16.8 	13.8 	9.4 	14.0 	13.0 	15.3 	20.8 	15.7 	17.0 	15.9 	9.2 
PC,D,CH	10.2 	10.4 	10.6 	10.5 	11.3 	11.9 	12.7 	15.8 	18.6 d	18.6 d	: 
PC,D,CY	2.3 u	2.4 u	2.8 u	3.4 u	7.4 u	12.8 u	17.2 u	19.3 	20.4 	22.5 	: 
PC,D,CZ	16.9 	14.6 	16.1 	18.1 	17.8 	17.9 	16.0 	18.4 	18.5 	18.4 	: 
PC,D,DE	20.9 p	21.5 p	22.7 p	21.2 	21.6 	21.5 	21.6 	21.4 	21.5 	21.4 	21.5 
PC,D,DK	18.7 	18.6 	19.8 	22.3 	21.3 	21.3 	18.9 	21.8 	17.4 	21.6 	: 
PC,D,EE	14.2 	15.0 	17.6 	17.3 	22.4 	21.4 	20.2 	21.9 	23.4 	24.8 	: 
PC,D,EL	: 	: 	: 	26.9 	: 	: 	: 	23.0 	: 	: 	: 
PC,D,ES	12.8 p	12.8 	16.1 	17.3 	15.2 	13.2 	8.8 	14.0 	17.6 	14.2 	18.9 
PC,D,FI	14.2 p	15.3 	15.0 	15.8 	15.6 	15.2 	17.1 	20.4 	20.3 	20.3 	: 
PC,D,FR	12.1 p	12.1 p	12.1 	13.3 	12.7 	10.5 	9.8 	11.2 	11.2 	11.8 	: 
PC,D,HR	0.4 	1.7 	: 	-0.2 	3.0 	: 	: 	11.7 	: 	: 	: 
PC,D,HU	10.7 u	15.8 	16.5 	7.3 	16.7 	18.5 	17.0 	17.4 	14.4 	13.0 	: 
PC,D,IE	: 	: 	: 	: c	: c	: c	: c	: 	: 	: 	: 
PC,D,IS	9.1 	13.0 	11.9 	11.7 	12.6 	14.8 	11.2 	14.0 	19.1 	18.3 	: 
PC,D,IT	: c	: c	: c	11.0 	: c	: c	: c	8.2 	: 	: 	: 
PC,D,LT	8.6 	9.3 	9.3 	10.0 	9.9 	10.6 	10.3 	16 b	18.9 	20.1 	20.1 
PC,D,LU	-1.7 	-1.3 	-1.7 	-2.0 	-1.0 	0.7 	2.9 	5.1 u	: 	: 	: 
PC,D,LV	17.5 	20.6 	20.6 	21.9 	20.6 	21.2 	21.5 	17.7 	: 	: 	: 
PC,D,ME	: 	: 	: 	11.2 	: 	: 	: 	: 	: 	: 	: 
PC,D,MK	: 	: 	: 	3.1 	: 	: 	: 	: 	: 	: 	: 
PC,D,MT	: 	: 	: 	: 	11.4 	15.6 	13.9 	6.8 	3.1 	4.4 	: 
PC,D,NL	12.2 	15.5 	17.0 	17.5 	18.8 	20.0 	22.5 	49.2 	53.7 	52.2 	: 
PC,D,NO	9.5 	10.1 	10.4 	9.0 	7.7 	9.1 	9.8 	11.4 	12.7 	11.8 	: 
PC,D,PL	4.6 p	4.6 	3.2 	1.7 	4.5 	7.2 	8.3 	9.4 	8.7 	7.9 	7.2 
PC,D,PT	3.3 	7.6 	5.1 	0.6 	3.0 	1.9 	2.0 	13.8 	14.4 	15.0 	15.6 
PC,D,RO	3.6 e	2.6 e	2.3 e	0.8 	-2.0 	-1.8 	0.5 	1.3 	7.8 d	7 d	4.1 d
