unit,nace_r2,geo\time	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 
PC,S,ES	14.4 p	14.4 	17.5 	12.5 	15.8 	19.5 	22.5 	20.0 	20.1 	22.7 	23.0 
PC,S,FI	14.6 p	16.7 	18.5 	18.6 	19.9 	20.5 	20.8 	20.4 	21.0 	21.3 	: 
PC,S,FR	17.6 p	18 p	18.3 	18.7 	16.9 	15.2 	13.1 	11.1 	13.2 	15.6 	: 
PC,S,HR	17.3 	14.9 	: 	21.9 	24.8 	: 	: 	17.8 	: 	: 	: 
PC,S,HU	6.9 p	8.1 	23.1 	7.9 	10.0 	13.9 	5.1 	14.5 	12.4 	19.6 	: 
PC,S,IE	: 	: 	: 	: c	: c	: c	: c	17.7 	19.7 	22.5 	: 
PC,S,IT	7.9 p	6.4 	10.9 	13.3 	: c	: c	: c	21.3 	: 	: 	: 
PC,S,LT	15.1 	18.9 	20.0 	20.0 	18.1 	23.5 	22.2 	34.9 b	30.1 	30.3 	24.0 
PC,S,LU	30.7 	30.6 	31.7 	34.2 	29.6 	26.1 	22.0 	17.6 u	: 	: 	: 
PC,S,LV	: u	: u	-1.8 	: u	: u	16.5 	30.2 	41.2 	: 	: 	: 
PC,S,ME	: 	: 	: 	27.9 	: 	: 	: 	: 	: 	: 	: 
PC,S,MK	: 	: 	: 	-18.2 	: 	: 	: 	: 	: 	: 	: 
PC,S,MT	6.8 	4.4 	4.0 	-1.4 u	1 u	2.4 u	3.4 u	9.8 	7.9 	6.8 	: 
PC,S,NL	15.4 	16.9 	17.6 	18.5 	18.2 	17.0 	17.8 	27.6 	25.5 	26.0 	: 
PC,S,NO	11.5 	11.7 	12.8 	21.2 	21.3 	20.3 	20.7 	20.0 	20.3 	17.2 	: 
PC,S,PL	32.5 p	32.5 	31.4 	30.2 	30.4 	30.6 	24.5 	18.4 	23.6 	28.8 	34.0 
PC,S,PT	26.3 	27.6 	27.8 	30.8 	29.0 	28.8 	20.8 	21.6 	25.8 	31.4 	29.5 
PC,S,RO	18.1 e	18.3 e	16.2 e	13.1 	17.0 	22.3 	24.7 	29.0 	25.3 d	19 d	16.4 d
PC,S,RS	: 	: 	: 	-22.7 	: 	: 	: 	: 	: 	: 	: 
PC,S,SE	5.1 	6.6 	8.1 	9.6 	10.6 	10.9 	13.0 	13.7 	13.2 	14.0 	: 
PC,S,SI	27.3 	28.5 	28.8 	28.3 	31.6 	32.0 	32.5 	36.8 	35.4 	36.4 	36.4 
PC,S,SK	-4.8 	-8.7 	-6.5 	-1.8 	-11.9 	4.0 	8.0 	-2.8 	1.0 	6.0 	: 
PC,S,TR	: 	: 	: 	14.1 	: 	: 	: 	: 	: 	: 	: 
PC,S,UK	17 p	20.3 	19.5 	18.6 	17.0 	22.4 	20.5 	18.7 b	21.0 	22.2 	25.3 
