GENESIS-Tabelle: 21111-0014
Absolventen/Abgänger: Bundesländer, Schuljahr, Geschlecht,;;;;;
Schulabschlüsse;;;;;
Statistik der allgemeinbildenden Schulen;;;;;
Absolventen/Abgänger (Anzahl);;;;;
;;;Geschlecht;Geschlecht;Geschlecht
;;;männlich;weiblich;Insgesamt
2012/13;Nordrhein-Westfalen;Mittlerer Schulabschluss;46781;44826;91607
2012/13;Nordrhein-Westfalen;Fachhochschulreife;54;46;100
2012/13;Nordrhein-Westfalen;Allgemeine Hochschulreife;52530;65365;117895
2012/13;Rheinland-Pfalz;Ohne Hauptschulabschluss;1494;852;2346
2012/13;Rheinland-Pfalz;Hauptschulabschluss;5299;3455;8754
2012/13;Rheinland-Pfalz;Mittlerer Schulabschluss;9738;9629;19367
2012/13;Rheinland-Pfalz;Fachhochschulreife;-;-;-
2012/13;Rheinland-Pfalz;Allgemeine Hochschulreife;6386;8006;14392
2012/13;Saarland;Ohne Hauptschulabschluss;295;214;509
2012/13;Saarland;Hauptschulabschluss;1541;1133;2674
2012/13;Saarland;Mittlerer Schulabschluss;1856;1950;3806
2012/13;Saarland;Fachhochschulreife;-;-;-
2012/13;Saarland;Allgemeine Hochschulreife;1413;1735;3148
2012/13;Sachsen;Ohne Hauptschulabschluss;1567;1032;2599
2012/13;Sachsen;Hauptschulabschluss;1780;1168;2948
2012/13;Sachsen;Mittlerer Schulabschluss;6645;6516;13161
2012/13;Sachsen;Fachhochschulreife;-;-;-
2012/13;Sachsen;Allgemeine Hochschulreife;3389;3960;7349
2012/13;Sachsen-Anhalt;Ohne Hauptschulabschluss;894;585;1479
2012/13;Sachsen-Anhalt;Hauptschulabschluss;1027;686;1713
2012/13;Sachsen-Anhalt;Mittlerer Schulabschluss;3923;3587;7510
2012/13;Sachsen-Anhalt;Fachhochschulreife;-;-;-
2012/13;Sachsen-Anhalt;Allgemeine Hochschulreife;1755;2137;3892
2012/13;Schleswig-Holstein;Ohne Hauptschulabschluss;1335;902;2237
2012/13;Schleswig-Holstein;Hauptschulabschluss;3822;2689;6511
2012/13;Schleswig-Holstein;Mittlerer Schulabschluss;6096;5991;12087
2012/13;Schleswig-Holstein;Fachhochschulreife;-;-;-
2012/13;Schleswig-Holstein;Allgemeine Hochschulreife;4239;4900;9139
2012/13;Thüringen;Ohne Hauptschulabschluss;729;448;1177
2012/13;Thüringen;Hauptschulabschluss;1346;886;2232
2012/13;Thüringen;Mittlerer Schulabschluss;3486;3438;6924
2012/13;Thüringen;Fachhochschulreife;-;-;-
2012/13;Thüringen;Allgemeine Hochschulreife;2072;2469;4541
2013/14;Baden-Württemberg;Ohne Hauptschulabschluss;3539;2329;5868
2013/14;Baden-Württemberg;Hauptschulabschluss;13031;9642;22673
2013/14;Baden-Württemberg;Mittlerer Schulabschluss;29439;27797;57236
2013/14;Baden-Württemberg;Fachhochschulreife;135;153;288
