Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2010/11;SF144;Technische Kybernetik;78;24;102
WS 2010/11;SF118;Technomathematik;227;57;284
WS 2010/11;SF116;Textilgestaltung;49;490;539
WS 2010/11;SF225;Textil- und Bekleidungstechnik/-gewerbe;80;460;540
WS 2010/11;SF155;Theaterwissenschaft;112;367;479
WS 2010/11;SF156;Tiermedizin/Veterinärmedizin;163;884;1047
WS 2010/11;SF371;Tierproduktion;2;2;4
WS 2010/11;SF194;Tonmeister;19;4;23
WS 2010/11;SF274;Tourismuswirtschaft;364;1255;1619
WS 2010/11;SF074;Transport-/Fördertechnik;58;4;62
WS 2010/11;SF209;Tschechisch;3;21;24
WS 2010/11;SF158;Turkologie;10;47;57
WS 2010/11;SF458;Umweltschutz;325;247;572
WS 2010/11;SF457;Umwelttechnik (einschließlich Recycling);1140;450;1590
WS 2010/11;SF548;Ur- und Frühgeschichte;21;31;52
WS 2010/11;SF226;Verfahrenstechnik;1260;684;1944
WS 2010/11;SF170;Verhaltensgestörtenpädagogik (ab 2016 zu SF190);14;80;94
WS 2010/11;SF089;Verkehrsingenieurwesen;567;198;765
WS 2010/11;SF268;Verkehrswesen;-;-;-
WS 2010/11;SF210;Verkehrswirtschaft;160;135;295
WS 2010/11;SF171;Vermessungswesen (Geodäsie);619;249;868
WS 2010/11;SF213;Versorgungstechnik;710;126;836
WS 2010/11;SF172;Verwaltungswissenschaft/-wesen;1017;1644;2661
WS 2010/11;SF174;Volkskunde;60;247;307
WS 2010/11;SF175;Volkswirtschaftslehre;2186;1371;3557
WS 2010/11;SF094;Wasserbau;52;25;77
WS 2010/11;SF077;Wasserwirtschaft;187;114;301
WS 2010/11;SF227;Weinbau und Kellerwirtschaft;135;71;206
WS 2010/11;SF201;Werken (technisch)/Technologie;27;36;63
WS 2010/11;SF176;Werkerziehung;4;6;10
WS 2010/11;SF177;Werkstofftechnik;905;281;1186
WS 2010/11;SF130;Westslawisch (allgemein und a.n.g.);1;13;14
