"Country or Area","Subgroup","Year","Source","Unit","Value","Value Footnotes"
"Bangladesh","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","105.2",""
"Bangladesh","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.1",""
"Bangladesh","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.8",""
"Bangladesh","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","97.2",""
"Bangladesh","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","109.4",""
"Bangladesh","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","108.5",""
"Bangladesh","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.9",""
"Bangladesh","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.8",""
"Bangladesh","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","95.9",""
"Bangladesh","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","124.2",""
"Bangladesh","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","116.2",""
"Bangladesh","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.2",""
"Bangladesh","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.6",""
"Bangladesh","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","98.5",""
"Barbados","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","154.9",""
"Barbados","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","157.3",""
"Barbados","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","155.9",""
"Barbados","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","151.5",""
"Barbados","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","145.9",""
"Barbados","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","168.6",""
"Barbados","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","168.0",""
"Barbados","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","162.1",""
"Barbados","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","155.3",""
"Barbados","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","150.2",""
"Barbados","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","234.0",""
"Barbados","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","216.2",""
"Barbados","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","199.0",""
"Barbados","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","198.2",""
"Barbados","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","217.5",""
"Belarus","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","190.5",""
"Belarus","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","182.1",""
"Belarus","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","183.7",""
"Belarus","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","193.3",""
"Belarus","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","213.4",""
"Belarus","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","207.6",""
"Belarus","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","204.8",""
"Belarus","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","209.8",""
"Belarus","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","230.6",""
"Belarus","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","231.3",""
"Belarus","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","365.4",""
"Belarus","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","354.0",""
"Belarus","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","321.9",""
"Belarus","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","290.9",""
"Belarus","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","279.3",""
"Belgium","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","132.2",""
"Belgium","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","134.9",""
"Belgium","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","137.3",""
"Belgium","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","140.7",""
"Belgium","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.6",""
"Belgium","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","141.2",""
"Belgium","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","144.7",""
"Belgium","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","149.4",""
"Belgium","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","154.0",""
"Belgium","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","159.9",""
"Belgium","Total 80+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","208.4",""
"Belgium","Total 80+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","232.7",""
"Belgium","Total 80+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","236.1",""
"Belgium","Total 80+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","234.2",""
"Belgium","Total 80+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","223.8",""
"Belize","Total 60+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","103.6",""
"Belize","Total 60+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","101.5",""
"Belize","Total 60+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.7",""
"Belize","Total 60+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","100.0",""
"Belize","Total 60+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","102.9",""
"Belize","Total 65+ yr","2005","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.8",""
"Belize","Total 65+ yr","2000","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","106.1",""
"Belize","Total 65+ yr","1995","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.0",""
"Belize","Total 65+ yr","1990","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","104.9",""
"Belize","Total 65+ yr","1985","UNPD_World Population Prospects_2006 (International estimate)","Women per 100 men","107.2",""
